"TOON","LEVEL","GEARSLOT1","GEARSLOT2","GEARSLOT3","GEARSLOT4","GEARSLOT5","GEARSLOT6"
"ahsoka-tano","6","mk-1-athakam-medpac","mk-6-fabritech-data-pad","mk-4-nubian-security-scanner","mk-4-merr-sonn-thermal-detonator","mk-5-sorosuub-keypad","mk-5-nubian-security-scanner"
"ahsoka-tano","7","mk-2-chedak-comlink","mk-4-biotech-implant","mk-2-athakam-medpac","mk-5-sorosuub-keypad","mk-8-fabritech-data-pad","mk-3-chedak-comlink"
"ahsoka-tano","8","mk-2-biotech-implant","mk-2-biotech-implant","mk-5-blastech-weapon-mod","mk-5-chiewab-hypo-syringe","mk-3-chedak-comlink","mk-5-cec-fusion-furnace"
"ahsoka-tano","9","mk-2-cec-fusion-furnace","mk-1-chedak-comlink","mk-5-taggeco-holo-lens","mk-8-fabritech-data-pad","mk-6-nubian-design-tech","mk-4-athakam-medpac"
"ahsoka-tano","10","mk-7-nubian-security-scanner","mk-4-sienar-holo-projector","mk-7-merr-sonn-shield-generator","mk-8-biotech-implant","mk-8-biotech-implant","mk-6-merr-sonn-thermal-detonator"
"ahsoka-tano","11","mk-5-akt-stun-gun","mk-4-sienar-holo-projector","mk-6-merr-sonn-thermal-detonator","mk-8-biotech-implant","mk-8-biotech-implant","unknown-gear"
"asajj-ventress","1","mk-1-baw-armor-mod","mk-1-baw-armor-mod","mk-1-loronar-power-cell","mk-1-loronar-power-cell","mk-1-biotech-implant","mk-1-biotech-implant"
"asajj-ventress","2","mk-1-loronar-power-cell","mk-1-merr-sonn-shield-generator","mk-2-baw-armor-mod","mk-2-nubian-security-scanner","mk-2-cec-fusion-furnace","mk-3-baw-armor-mod"
"asajj-ventress","3","mk-3-neuro-saav-electrobinoculars","mk-3-sorosuub-keypad","mk-4-biotech-implant","mk-3-arakyd-droid-caller","mk-5-loronar-power-cell","mk-4-biotech-implant"
"asajj-ventress","4","mk-2-cec-fusion-furnace","mk-3-sorosuub-keypad","mk-4-biotech-implant","mk-6-blastech-weapon-mod","mk-3-merr-sonn-thermal-detonator","mk-4-nubian-design-tech"
"asajj-ventress","5","mk-3-nubian-security-scanner","mk-3-neuro-saav-electrobinoculars","mk-2-sienar-holo-projector","mk-6-baw-armor-mod","mk-7-baw-armor-mod","mk-2-czerka-stun-cuffs"
"asajj-ventress","6","mk-2-akt-stun-gun","mk-3-sorosuub-keypad","mk-7-fabritech-data-pad","mk-7-loronar-power-cell","mk-2-carbanti-sensor-array","mk-7-neuro-saav-electrobinoculars"
"asajj-ventress","7","mk-1-chedak-comlink","mk-5-neuro-saav-electrobinoculars","mk-2-sienar-holo-projector","mk-1-zaltin-bacta-gel","mk-8-blastech-weapon-mod","mk-8-fabritech-data-pad"
"asajj-ventress","8","mk-4-biotech-implant","mk-5-biotech-implant","mk-4-akt-stun-gun","mk-6-chiewab-hypo-syringe","mk-7-biotech-implant","mk-5-cec-fusion-furnace"
"asajj-ventress","9","mk-1-merr-sonn-thermal-detonator","mk-6-loronar-power-cell","mk-2-athakam-medpac","mk-8-fabritech-data-pad","mk-6-nubian-design-tech","mk-5-merr-sonn-thermal-detonator"
"asajj-ventress","10","mk-1-carbanti-sensor-array","mk-6-chiewab-hypo-syringe","mk-8-biotech-implant","mk-5-nubian-design-tech","mk-2-zaltin-bacta-gel","mk-6-merr-sonn-thermal-detonator"
"asajj-ventress","11","mk-8-biotech-implant","mk-7-merr-sonn-shield-generator","mk-8-neuro-saav-electrobinoculars","mk-8-biotech-implant","mk-4-sienar-holo-projector","unknown-gear"
"b2-super-battle-droid","1","mk-1-fabritech-data-pad","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-arakyd-droid-caller","mk-1-nubian-security-scanner","mk-1-baw-armor-mod"
"b2-super-battle-droid","2","mk-3-taggeco-holo-lens","mk-2-loronar-power-cell","mk-2-loronar-power-cell","mk-2-fabritech-data-pad","mk-2-sorosuub-keypad","mk-1-sienar-holo-projector"
"b2-super-battle-droid","3","mk-2-fabritech-data-pad","mk-3-merr-sonn-shield-generator","mk-3-sorosuub-keypad","mk-1-merr-sonn-thermal-detonator","mk-2-chiewab-hypo-syringe","mk-6-loronar-power-cell"
"b2-super-battle-droid","4","mk-1-chedak-comlink","mk-5-neuro-saav-electrobinoculars","mk-2-merr-sonn-shield-generator","mk-2-merr-sonn-shield-generator","mk-5-taggeco-holo-lens","mk-3-nubian-design-tech"
"b2-super-battle-droid","5","mk-3-biotech-implant","mk-3-biotech-implant","mk-4-nubian-security-scanner","mk-7-fabritech-data-pad","mk-6-taggeco-holo-lens","mk-6-neuro-saav-electrobinoculars"
"b2-super-battle-droid","6","mk-2-merr-sonn-shield-generator","mk-3-nubian-design-tech","mk-6-taggeco-holo-lens","mk-4-sorosuub-keypad","mk-4-arakyd-droid-caller","mk-6-biotech-implant"
"b2-super-battle-droid","7","mk-1-merr-sonn-thermal-detonator","mk-7-loronar-power-cell","mk-6-biotech-implant","mk-4-arakyd-droid-caller","mk-8-taggeco-holo-lens","mk-3-athakam-medpac"
"b2-super-battle-droid","8","mk-3-sienar-holo-projector","mk-2-carbanti-sensor-array","mk-3-sienar-holo-projector","mk-3-athakam-medpac","mk-5-akt-stun-gun","mk-5-arakyd-droid-caller"
"b2-super-battle-droid","9","mk-7-loronar-power-cell","mk-3-sienar-holo-projector","mk-5-akt-stun-gun","mk-5-arakyd-droid-caller","mk-7-nubian-security-scanner","mk-5-merr-sonn-thermal-detonator"
"b2-super-battle-droid","10","mk-7-nubian-security-scanner","mk-7-merr-sonn-shield-generator","mk-11-blastech-weapon-mod","mk-8-biotech-implant","mk-9-fabritech-data-pad","mk-6-merr-sonn-thermal-detonator"
"b2-super-battle-droid","11","unknown-gear","mk-10-neuro-saav-electrobinoculars","mk-4-sienar-holo-projector","unknown-gear","unknown-gear","unknown-gear"
"barriss-offee","1","mk-1-baw-armor-mod","mk-1-baw-armor-mod","mk-1-nubian-security-scanner","mk-1-nubian-security-scanner","mk-1-fabritech-data-pad","mk-1-fabritech-data-pad"
"barriss-offee","2","mk-1-fabritech-data-pad","mk-1-merr-sonn-shield-generator","mk-2-blastech-weapon-mod","mk-2-sorosuub-keypad","mk-1-sienar-holo-projector","mk-3-neuro-saav-electrobinoculars"
"barriss-offee","3","mk-1-merr-sonn-shield-generator","mk-1-chiewab-hypo-syringe","mk-4-blastech-weapon-mod","mk-1-merr-sonn-thermal-detonator","mk-1-merr-sonn-thermal-detonator","mk-4-fabritech-data-pad"
"barriss-offee","4","mk-1-merr-sonn-shield-generator","mk-3-fabritech-data-pad","mk-4-baw-armor-mod","mk-6-loronar-power-cell","mk-4-fabritech-data-pad","mk-5-merr-sonn-shield-generator"
"barriss-offee","5","mk-4-fabritech-data-pad","mk-6-loronar-power-cell","mk-2-merr-sonn-shield-generator","mk-5-merr-sonn-shield-generator","mk-1-zaltin-bacta-gel","mk-7-loronar-power-cell"
"barriss-offee","6","mk-6-fabritech-data-pad","mk-4-fabritech-data-pad","mk-1-merr-sonn-thermal-detonator","mk-2-carbanti-sensor-array","mk-7-loronar-power-cell","mk-8-blastech-weapon-mod"
"barriss-offee","7","mk-2-chedak-comlink","mk-4-nubian-design-tech","mk-2-merr-sonn-shield-generator","mk-1-zaltin-bacta-gel","mk-6-nubian-security-scanner","mk-3-athakam-medpac"
"barriss-offee","8","mk-4-biotech-implant","mk-6-loronar-power-cell","mk-4-merr-sonn-thermal-detonator","mk-7-taggeco-holo-lens","mk-5-akt-stun-gun","mk-5-arakyd-droid-caller"
"barriss-offee","9","mk-4-nubian-design-tech","mk-5-merr-sonn-shield-generator","mk-6-taggeco-holo-lens","mk-6-biotech-implant","mk-6-nubian-security-scanner","mk-4-chedak-comlink"
"barriss-offee","10","mk-4-fabritech-data-pad","mk-7-taggeco-holo-lens","mk-3-carbanti-sensor-array","mk-7-nubian-security-scanner","mk-5-athakam-medpac","mk-3-zaltin-bacta-gel"
"barriss-offee","11","mk-10-taggeco-holo-lens","mk-5-athakam-medpac","mk-9-fabritech-data-pad","mk-4-sienar-holo-projector","unknown-gear","unknown-gear"
"baze-malbus","1","mk-1-nubian-security-scanner","mk-1-nubian-security-scanner","mk-1-fabritech-data-pad","mk-1-arakyd-droid-caller","mk-1-neuro-saav-electrobinoculars","mk-1-akt-stun-gun"
"baze-malbus","2","mk-1-sienar-holo-projector","mk-3-baw-armor-mod","mk-1-chiewab-hypo-syringe","mk-2-loronar-power-cell","mk-2-fabritech-data-pad","mk-2-sorosuub-keypad"
"baze-malbus","3","mk-4-fabritech-data-pad","mk-6-loronar-power-cell","mk-1-merr-sonn-thermal-detonator","mk-3-sorosuub-keypad","mk-3-biotech-implant","mk-2-sorosuub-keypad"
"baze-malbus","4","mk-2-athakam-medpac","mk-5-taggeco-holo-lens","mk-3-chiewab-hypo-syringe","mk-2-merr-sonn-shield-generator","mk-3-biotech-implant","mk-2-chiewab-hypo-syringe"
"baze-malbus","5","mk-4-merr-sonn-thermal-detonator","mk-7-fabritech-data-pad","mk-5-taggeco-holo-lens","mk-4-fabritech-data-pad","mk-4-fabritech-data-pad","mk-2-merr-sonn-shield-generator"
"baze-malbus","6","mk-8-blastech-weapon-mod","mk-7-fabritech-data-pad","mk-4-sorosuub-keypad","mk-2-athakam-medpac","mk-3-chiewab-hypo-syringe","mk-5-fabritech-data-pad"
"baze-malbus","7","mk-3-carbanti-sensor-array","mk-7-taggeco-holo-lens","mk-8-taggeco-holo-lens","mk-6-nubian-security-scanner","mk-3-sienar-holo-projector","mk-7-fabritech-data-pad"
"baze-malbus","8","mk-5-arakyd-droid-caller","mk-5-akt-stun-gun","mk-3-carbanti-sensor-array","mk-8-taggeco-holo-lens","mk-4-sorosuub-keypad","mk-6-taggeco-holo-lens"
"baze-malbus","9","mk-7-nubian-security-scanner","mk-5-arakyd-droid-caller","mk-5-merr-sonn-thermal-detonator","mk-3-carbanti-sensor-array","mk-8-blastech-weapon-mod","mk-3-sienar-holo-projector"
"baze-malbus","10","mk-3-zaltin-bacta-gel","mk-8-biotech-implant","mk-8-biotech-implant","mk-5-akt-stun-gun","mk-3-czerka-stun-cuffs","mk-3-carbanti-sensor-array"
"baze-malbus","11","unknown-gear","mk-11-blastech-weapon-mod","mk-8-biotech-implant","mk-7-merr-sonn-shield-generator","mk-4-sienar-holo-projector","mk-10-blastech-weapon-mod"
"biggs-darklighter","1","mk-1-baw-armor-mod","mk-1-baw-armor-mod","mk-1-neuro-saav-electrobinoculars","mk-1-loronar-power-cell","mk-1-loronar-power-cell","mk-1-akt-stun-gun"
"biggs-darklighter","2","mk-1-fabritech-data-pad","mk-2-nubian-security-scanner","mk-1-sorosuub-keypad","mk-2-biotech-implant","mk-1-sienar-holo-projector","mk-1-sienar-holo-projector"
"biggs-darklighter","3","mk-2-biotech-implant","mk-2-blastech-weapon-mod","mk-3-cec-fusion-furnace","mk-3-arakyd-droid-caller","mk-6-loronar-power-cell","mk-6-fabritech-data-pad"
"biggs-darklighter","4","mk-1-merr-sonn-thermal-detonator","mk-4-loronar-power-cell","mk-5-baw-armor-mod","mk-5-biotech-implant","mk-3-chiewab-hypo-syringe","mk-2-sienar-holo-projector"
"biggs-darklighter","5","mk-4-fabritech-data-pad","mk-5-biotech-implant","mk-3-chiewab-hypo-syringe","mk-2-athakam-medpac","mk-7-fabritech-data-pad","mk-4-merr-sonn-thermal-detonator"
"biggs-darklighter","6","mk-7-blastech-weapon-mod","mk-2-carbanti-sensor-array","mk-3-sienar-holo-projector","mk-4-sorosuub-keypad","mk-4-arakyd-droid-caller","mk-8-blastech-weapon-mod"
"biggs-darklighter","7","mk-4-merr-sonn-thermal-detonator","mk-5-sorosuub-keypad","mk-4-arakyd-droid-caller","mk-8-blastech-weapon-mod","mk-8-fabritech-data-pad","mk-6-chiewab-hypo-syringe"
"biggs-darklighter","8","mk-6-taggeco-holo-lens","mk-7-loronar-power-cell","mk-6-biotech-implant","mk-8-taggeco-holo-lens","mk-5-akt-stun-gun","mk-5-cec-fusion-furnace"
"biggs-darklighter","9","mk-6-neuro-saav-electrobinoculars","mk-6-neuro-saav-electrobinoculars","mk-5-chiewab-hypo-syringe","mk-6-chiewab-hypo-syringe","mk-7-nubian-security-scanner","mk-4-athakam-medpac"
"biggs-darklighter","10","mk-3-zaltin-bacta-gel","mk-10-taggeco-holo-lens","mk-7-nubian-security-scanner","mk-6-chiewab-hypo-syringe","mk-8-taggeco-holo-lens","mk-4-chedak-comlink"
"biggs-darklighter","11","mk-3-zaltin-bacta-gel","unknown-gear","unknown-gear","unknown-gear","unknown-gear","unknown-gear"
"bistan","1","mk-1-blastech-weapon-mod","mk-1-loronar-power-cell","mk-1-taggeco-holo-lens","mk-1-nubian-security-scanner","mk-1-neuro-saav-electrobinoculars","mk-1-akt-stun-gun"
"bistan","2","mk-1-akt-stun-gun","mk-2-nubian-security-scanner","mk-2-neuro-saav-electrobinoculars","mk-3-taggeco-holo-lens","mk-2-sorosuub-keypad","mk-3-baw-armor-mod"
"bistan","3","mk-5-blastech-weapon-mod","mk-4-fabritech-data-pad","mk-2-merr-sonn-thermal-detonator","mk-1-sienar-holo-projector","mk-1-merr-sonn-thermal-detonator","mk-5-baw-armor-mod"
"bistan","4","mk-3-blastech-weapon-mod","mk-2-merr-sonn-shield-generator","mk-2-merr-sonn-shield-generator","mk-5-blastech-weapon-mod","mk-5-blastech-weapon-mod","mk-2-athakam-medpac"
"bistan","5","mk-4-fabritech-data-pad","mk-3-chiewab-hypo-syringe","mk-7-blastech-weapon-mod","mk-2-sienar-holo-projector","mk-2-czerka-stun-cuffs","mk-7-fabritech-data-pad"
"bistan","6","mk-3-biotech-implant","mk-3-chiewab-hypo-syringe","mk-5-biotech-implant","mk-7-fabritech-data-pad","mk-4-cec-fusion-furnace","mk-8-blastech-weapon-mod"
"bistan","7","mk-3-sienar-holo-projector","mk-5-nubian-design-tech","mk-7-loronar-power-cell","mk-5-chiewab-hypo-syringe","mk-3-carbanti-sensor-array","mk-6-chiewab-hypo-syringe"
"bistan","8","mk-3-sienar-holo-projector","mk-7-taggeco-holo-lens","mk-7-loronar-power-cell","mk-3-czerka-stun-cuffs","mk-5-akt-stun-gun","mk-5-cec-fusion-furnace"
"bistan","9","mk-3-chedak-comlink","mk-3-czerka-stun-cuffs","mk-6-chiewab-hypo-syringe","mk-3-carbanti-sensor-array","mk-4-chedak-comlink","mk-6-nubian-design-tech"
"bistan","10","mk-5-athakam-medpac","mk-5-merr-sonn-thermal-detonator","mk-7-merr-sonn-shield-generator","mk-8-biotech-implant","mk-9-fabritech-data-pad","mk-6-merr-sonn-thermal-detonator"
"bistan","11","mk-6-chiewab-hypo-syringe","mk-5-merr-sonn-thermal-detonator","mk-10-neuro-saav-electrobinoculars","mk-4-sienar-holo-projector","mk-3-zaltin-bacta-gel","unknown-gear"
"boba-fett","1","mk-1-blastech-weapon-mod","mk-1-cec-fusion-furnace","mk-1-cec-fusion-furnace","mk-1-akt-stun-gun","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars"
"boba-fett","2","mk-3-blastech-weapon-mod","mk-3-loronar-power-cell","mk-2-nubian-security-scanner","mk-1-merr-sonn-shield-generator","mk-2-neuro-saav-electrobinoculars","mk-1-nubian-design-tech"
"boba-fett","3","mk-2-merr-sonn-thermal-detonator","mk-5-neuro-saav-electrobinoculars","mk-3-sorosuub-keypad","mk-3-nubian-security-scanner","mk-4-blastech-weapon-mod","mk-4-neuro-saav-electrobinoculars"
"boba-fett","4","mk-2-sienar-holo-projector","mk-2-merr-sonn-thermal-detonator","mk-1-chedak-comlink","mk-5-biotech-implant","mk-3-chiewab-hypo-syringe","mk-6-baw-armor-mod"
"boba-fett","5","mk-7-fabritech-data-pad","mk-7-fabritech-data-pad","mk-4-nubian-security-scanner","mk-6-baw-armor-mod","mk-3-chiewab-hypo-syringe","mk-3-arakyd-droid-caller"
"boba-fett","6","mk-4-arakyd-droid-caller","mk-7-fabritech-data-pad","mk-2-czerka-stun-cuffs","mk-2-athakam-medpac","mk-2-sienar-holo-projector","mk-4-fabritech-data-pad"
"boba-fett","7","mk-6-nubian-security-scanner","mk-8-blastech-weapon-mod","mk-3-cec-fusion-furnace","mk-1-merr-sonn-thermal-detonator","mk-1-merr-sonn-thermal-detonator","mk-2-chedak-comlink"
"boba-fett","8","mk-5-cec-fusion-furnace","mk-6-chiewab-hypo-syringe","mk-6-chiewab-hypo-syringe","mk-5-arakyd-droid-caller","mk-6-neuro-saav-electrobinoculars","mk-6-loronar-power-cell"
"boba-fett","9","mk-6-nubian-design-tech","mk-5-akt-stun-gun","mk-6-biotech-implant","mk-6-chiewab-hypo-syringe","mk-5-cec-fusion-furnace","mk-3-sienar-holo-projector"
"boba-fett","10","mk-5-cec-fusion-furnace","mk-6-nubian-design-tech","mk-9-neuro-saav-electrobinoculars","mk-9-neuro-saav-electrobinoculars","mk-7-merr-sonn-shield-generator","mk-4-chedak-comlink"
"boba-fett","11","mk-7-nubian-security-scanner","mk-11-blastech-weapon-mod","mk-6-merr-sonn-thermal-detonator","mk-8-biotech-implant","mk-6-merr-sonn-thermal-detonator","unknown-gear"
"bodhi-rook","1","mk-1-blastech-weapon-mod","mk-1-baw-armor-mod","mk-1-akt-stun-gun","mk-1-fabritech-data-pad","mk-1-neuro-saav-electrobinoculars","mk-1-biotech-implant"
"bodhi-rook","2","mk-2-loronar-power-cell","mk-2-baw-armor-mod","mk-1-sienar-holo-projector","mk-2-sorosuub-keypad","mk-1-czerka-stun-cuffs","mk-2-neuro-saav-electrobinoculars"
"bodhi-rook","3","mk-5-loronar-power-cell","mk-1-merr-sonn-thermal-detonator","mk-6-blastech-weapon-mod","mk-3-fabritech-data-pad","mk-3-nubian-security-scanner","mk-3-biotech-implant"
"bodhi-rook","4","mk-7-blastech-weapon-mod","mk-3-chiewab-hypo-syringe","mk-3-nubian-design-tech","mk-3-chiewab-hypo-syringe","mk-2-merr-sonn-shield-generator","mk-3-merr-sonn-thermal-detonator"
"bodhi-rook","5","mk-3-chiewab-hypo-syringe","mk-4-chiewab-hypo-syringe","mk-7-blastech-weapon-mod","mk-3-nubian-design-tech","mk-3-chiewab-hypo-syringe","mk-2-carbanti-sensor-array"
"bodhi-rook","6","mk-4-akt-stun-gun","mk-4-cec-fusion-furnace","mk-6-neuro-saav-electrobinoculars","mk-5-sorosuub-keypad","mk-4-sorosuub-keypad","mk-1-chedak-comlink"
"bodhi-rook","7","mk-3-athakam-medpac","mk-8-taggeco-holo-lens","mk-6-biotech-implant","mk-4-arakyd-droid-caller","mk-4-sorosuub-keypad","mk-4-akt-stun-gun"
"bodhi-rook","8","mk-6-neuro-saav-electrobinoculars","mk-3-carbanti-sensor-array","mk-3-czerka-stun-cuffs","mk-6-chiewab-hypo-syringe","mk-5-akt-stun-gun","mk-5-arakyd-droid-caller"
"bodhi-rook","9","mk-3-carbanti-sensor-array","mk-3-sienar-holo-projector","mk-3-czerka-stun-cuffs","mk-7-biotech-implant","mk-5-akt-stun-gun","mk-6-nubian-design-tech"
"bodhi-rook","10","mk-10-taggeco-holo-lens","mk-7-merr-sonn-shield-generator","mk-10-taggeco-holo-lens","mk-5-athakam-medpac","mk-10-neuro-saav-electrobinoculars","mk-3-zaltin-bacta-gel"
"bodhi-rook","11","unknown-gear","mk-5-athakam-medpac","mk-10-neuro-saav-electrobinoculars","unknown-gear","unknown-gear","mk-6-merr-sonn-thermal-detonator"
"cad-bane","1","mk-1-blastech-weapon-mod","mk-1-blastech-weapon-mod","mk-1-taggeco-holo-lens","mk-1-akt-stun-gun","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars"
"cad-bane","2","mk-1-blastech-weapon-mod","mk-1-sorosuub-keypad","mk-2-biotech-implant","mk-3-taggeco-holo-lens","mk-3-loronar-power-cell","mk-3-blastech-weapon-mod"
"cad-bane","3","mk-1-merr-sonn-shield-generator","mk-4-neuro-saav-electrobinoculars","mk-3-merr-sonn-shield-generator","mk-3-arakyd-droid-caller","mk-1-chedak-comlink","mk-5-biotech-implant"
"cad-bane","4","mk-3-arakyd-droid-caller","mk-3-arakyd-droid-caller","mk-5-baw-armor-mod","mk-5-biotech-implant","mk-6-baw-armor-mod","mk-4-nubian-security-scanner"
"cad-bane","5","mk-4-fabritech-data-pad","mk-5-biotech-implant","mk-3-chiewab-hypo-syringe","mk-2-sienar-holo-projector","mk-7-fabritech-data-pad","mk-6-neuro-saav-electrobinoculars"
"cad-bane","6","mk-3-sorosuub-keypad","mk-6-baw-armor-mod","mk-4-chiewab-hypo-syringe","mk-6-neuro-saav-electrobinoculars","mk-4-arakyd-droid-caller","mk-8-blastech-weapon-mod"
"cad-bane","7","mk-4-nubian-security-scanner","mk-3-sienar-holo-projector","mk-8-fabritech-data-pad","mk-3-chedak-comlink","mk-4-arakyd-droid-caller","mk-6-chiewab-hypo-syringe"
"cad-bane","8","mk-4-chiewab-hypo-syringe","mk-4-sorosuub-keypad","mk-6-nubian-security-scanner","mk-6-chiewab-hypo-syringe","mk-3-czerka-stun-cuffs","mk-5-cec-fusion-furnace"
"cad-bane","9","mk-2-athakam-medpac","mk-8-taggeco-holo-lens","mk-6-chiewab-hypo-syringe","mk-7-nubian-security-scanner","mk-6-nubian-design-tech","mk-4-athakam-medpac"
"cad-bane","10","mk-9-blastech-weapon-mod","mk-6-merr-sonn-shield-generator","mk-11-blastech-weapon-mod","mk-3-czerka-stun-cuffs","mk-3-czerka-stun-cuffs","mk-4-arakyd-droid-caller"
"cad-bane","11","mk-7-merr-sonn-shield-generator","mk-9-fabritech-data-pad","mk-8-biotech-implant","mk-8-biotech-implant","mk-6-merr-sonn-thermal-detonator","unknown-gear"
"captain-phasma","1","mk-1-neuro-saav-electrobinoculars","mk-1-nubian-security-scanner","mk-1-akt-stun-gun","mk-1-baw-armor-mod","mk-1-loronar-power-cell","mk-1-arakyd-droid-caller"
